FE;EBITA;OCF;MC;FS
25.005;34.691;8.814;-0.088036697;0
25.025;23.251;16.806;0.04867559;0
0.568;29.106;6.697;0.065149641;0
1.632;34.766;15.255;0.064537856;0
1.474;42.557;24.76;0.45418289;0
1.474;55.177;9.531;0.594334885;0
0.237;78.999;22.823;0.29787941;0
0.42;94.444;28.525;-0.261664854;0
26.314;89.031;10.051;-0.310707693;0
13.652;64.367;46.093;0.011713221;0
42.525;27.207;-33.315;-0.033212947;0
92.256;30.745;34.733;-0.606877865;0
3.392;47.491;14.572;1.155223454;0
3.745;61.774;50.938;0.692027927;0
2.289;91.877;-40.482;0.688660874;0
74.245;118.907;-21.239;0.389251254;0
22.994;168.522;16.926;-0.390353929;0
63.6;166.08;64.451;-0.235369118;0
100.833;134.345;153.156;0.360815039;0
114.075;196.312;108.598;0.34967038;0
122.865;222.693;94.217;-0.537740396;0
86.4;245.2;162.9;0.627899791;0
69.7;256;139.8;0.216841072;0
69;83.7;-43;0.088512131;0
12;136.9;32.1;-0.194844383;0
2;148.2;21.8;0.424703709;0
2.651;7.907;6.024;0.425;0
4.953;10.064;3.447;0.789473684;0
6.767;13.001;1.925;0.078431373;0
0.094;-0.555;-0.941;2.670078519;0
0.176;-1.071;-0.817;4.315759312;0
0.456;0.28;2.719;-0.125880408;0
0.324;58.036;34.755;0.507224128;0
0.3;72.358;29.448;1.049082571;0
0.4;86.037;58.201;0.299999357;0
0.41;110.579;44.259;0.909479525;0
2.247;166.978;63.457;0.775856901;0
0.65;238.207;79.713;-0.007634926;0
200.735;290.675;82.078;-0.298436558;0
35.152;413.739;332.281;1.308161988;0
28.5;670.1;221.4;1.299162192;0
1.7;-55.6;95;-0.781137903;0
15.7;-192.4;60.5;-0.649415029;0
8.3;19.9;38.9;0.640821993;0
0.3;78.2;3.1;-0.136346445;0
0.3;159;58.6;0.13550866;0
0;140.4;87.1;-0.17501531;0
200.6;167.9;141.8;0.311238471;0
2.6;173.3;175.6;-0.679125286;0
0.6;84.7;79.9;0.141717755;0
0.3;121.4;136.6;0.528620582;0
0.728;11.979;12.248;0.561377716;0
6.978;9.609;3.055;-0.217212851;0
5.542;10.743;8.816;0.29776078;0
3.857;10.944;1.825;0.958836391;0
0.401;3.84;4.357;-0.008300395;0
0.781;4.068;2.203;0.656702538;0
0.716;5.374;5.699;-0.048275862;0
0.635;4.326;3.583;-0.010616785;0
0.666;5.443;4.669;-0.137625617;0
2.547;4.689;3.295;0.307558101;0
5.359;2.592;3.807;2.5;0
10.32;2.469;1.138;-0.119583236;0
7.701;1.051;1.67;-0.014566415;0
0.644;2.285;2.913;0.563241919;0
0.415;2.567;-1.204;0.802465233;0
0.639;2.89;5.473;0.415553954;0
0.771;1.359;-0.658;-0.406364382;0
0.428;-0.265;0.323;-0.62035217;0
0.195;0.672;1.557;0.4;0
0.142;0.381;1.022;-0.346938776;0
0.328;0.711;1.15;-0.46875;0
2.141;0.205;0.462;0;0
1.452;1.614;0.881;7.823529412;0
0.675;1.856;1.125;0.420688167;0
0;1.252;0.934;0.468512107;0
0.537;-0.432;-1.544;0.050535792;0
8.578;-2.721;-2.296;-0.835294118;0
32.206;-13.256;1.17;0.50930157;0
31.959;38.252;23.854;0.332600462;0
63.553;32.381;8.307;-0.457552569;0
74.484;34.32;17.162;0.449717892;0
75.855;74.407;36.828;0.29412597;0
65.918;45.471;24.821;-0.437555535;0
49.938;68.489;30.963;0.731660452;0
53.974;91.537;56.655;0.728307166;0
13.4;123.16;69.938;-0.044150954;0
20.676;190.533;33.124;0.937612271;0
30.338;163.601;119.384;-0.335627838;0
48.592;187.264;162.2;-0.477304088;0
34.907;155.228;157;0.706979624;0
691.735;153.829;186.162;-0.143978191;0
416.669;163.101;247.281;0.72206579;0
0;138.914;42.933;-0.326300233;0
11.032;40.816;46.991;-0.150417754;0
26.04;77.13;97.281;0.138010721;0
20.457;107.08;139.929;1.239973598;0
9.234;166.234;152.872;0.105888232;0
70.523;191.985;160.077;0.135793042;0
59.148;210.439;169.83;0.240824247;0
115.567;195.409;56.568;0.030511693;0
105.337;236.723;107.369;-0.246394621;0
149.626;266.23;179.993;-0.05704336;0
152.885;274.795;87.019;-0.387509321;0
7.406;38.703;18.441;-0.177777778;0
2.618;53.039;29.062;0.749190264;0
2.168;89.81;63.68;0.340778474;0
2.516;80.676;44.184;0.108508352;0
25.752;103.177;86.453;1.071602213;0
14.616;112.948;134.074;-0.136704462;0
19.883;106.901;90.799;0.40593208;0
32.367;102.531;67.167;-0.258121711;0
31.842;94.164;89.027;-0.670731707;0
37.875;102.822;43.458;0.398518519;0
34.378;154.148;100.649;1.776177879;0
41.641;199.687;128.747;-0.317682546;0
22.485;231.174;183.278;0.797783718;0
47.322;-21.719;-27.06;-0.540513051;0
2.865;-10.515;-46.742;-0.976698435;0
9.635;20.64;12.336;97.90142226;0
12.764;14.164;-3.217;-0.234201525;0
14.381;-5.648;-1.773;-0.769263694;0
6.273;1.01;-15.639;-0.651874049;0
10.844;5.172;-2.764;3.098647356;0
11.294;3.873;1.384;-0.669461297;0
662;955;843;0.061639549;0
310;1731;1377;-0.002141664;0
718;2537;1609;-0.204175363;0
350;2807;2185;0.403551745;0
554;3069;2716;0.413678672;0
532;3170;2920;0.387635757;0
202;3625;3195;-0.139086973;0
538;2248;2264;0.036763199;0
796;2583;3142;-0.400048345;0
772;-456;511;-0.421877239;0
868;-1256;-1111;-0.700962913;0
804;582;601;1.006030068;0
806;1159;717;-0.146100171;0
1239;1266;1024;1.301937202;0
1349;2217;1939;0.653769726;0
1049;2093;1935;-0.479139373;0
1956;510;-1394;-0.149374122;0
1114;262;930;-0.13613904;0
1883;1303;1241;0.010264526;0
1518;695;680;-0.954825644;0
1419;1434;1279;1.271591171;0
1446;2956;675;23.73012822;0
1708;6585;3080;4.674397486;0
2231;8891;6249;-0.292813032;0
1855;7833;6524;-0.104608621;0
2554;6809;4744;0.044547164;0
0.826;-0.069;-0.099;1.446256245;0
0.903;-0.048;0;-0.107913917;0
1.56;-0.004;-1.23;0.711357107;0
0.804;1.297;2.001;-0.383960238;0
1.028;0.486;-0.061;0.82798367;0
0.489;1.135;0.11;-0.310140541;0
0.339;0.86;2.061;0.694283988;0
1.588;1.755;-0.759;0.014422396;0
2.788;1.171;-0.837;-0.166666667;0
3.776;3.96;2.631;-0.474330384;0
2.826;6.381;4.382;1.925893989;0
2.12;3.455;3.701;-0.440793414;0
2.094;2.556;1.593;-0.071372206;0
4.188;2.338;1.882;1.086518869;0
1.568;4.704;2.586;0.668575581;0
0.62;7.276;-4.15;0.796069876;0
0.278;14.214;3.958;0.576223167;0
1.474;11.371;5.077;-0.786544078;0
0.836;3.799;14.892;0.628356807;0
0;6.398;2.938;0.512028638;0
0;13.767;8.738;-0.055980438;0
0;17.933;16.829;1.094514534;0
9.922;25.643;24.181;1.449189304;0
8.887;35.6;16.263;-0.012321015;0
19.494;45.171;12.637;-0.361839429;0
14.597;56.219;69.599;0.82947315;0
17.097;28.065;6.57;-0.627866088;0
3.241;48.85;45.341;0.545332081;0
6.439;27.961;20.908;0.036221392;0
1.737;109.319;32.193;-0.308430823;0
59.464;73.644;-68.418;0.10964811;0
50.398;67.35;-40.26;-0.019113063;0
158.42;-80.379;-119.774;0.090376867;0
175.291;-324.676;-138.975;-0.518646449;0
2.519;6.849;5.42;0.115557129;0
2.757;7.911;6.648;0.37541001;0
0.82;9.151;5.477;1.408595533;0
1.936;10.952;8.3;0.185982881;0
4.259;11.009;4.508;0.347206388;0
4.247;14.058;8.729;-0.147010073;0
1.755;19.742;13.663;1.816705042;0
6.509;27.638;11.378;1.018201597;0
1.566;31.345;14.64;2.799338952;0
1.905;44.563;47.208;-0.546779188;0
2.171;19.693;16.115;-0.334412443;0
