,id,etl_date,entid,name,address,code1,code2,isurban,isboard,havebond,havebond2,isbad,m001,m002,m003,m004,m005,m006,m010,m011,m012,m013,m015,m020,m021,m022,m023,m024,m025,m026,f005,f015,f022,f024,f031,f037,f039,f044,data_date
0,1194538,2020-10-15 22:36:56,4731d29ca6d2c79000d7aae267bed95a,福星惠誉控股有限公司,东西湖区武汉银湖科技产业开发园８号,914201007257685192,725768519,0,0,1,1,,,,,,,,,90.0,,57.0,0.0,0.0,,,,,,,1.298,0.0875,-0.0025,-0.0017,0.3493,1.032,1.1309,9.6826,2018-06-29
1,1194540,2020-10-15 22:36:56,634c2db90282fc1769a242ad781967ea,中国轻工集团有限公司,北京市朝阳区启阳路4号,911100001000089232,100008923,0,0,1,1,,,,,,,,,105.0,,3.0,0.0,0.0,,,,,,,1.4831,27.3509,-0.3026,-0.018,0.1829,7.4109,2.7624,-8.1031,2018-06-29
2,1194541,2020-10-15 22:36:56,6F268F84D67FC7E3E0539601A8C062C45,中国邮政集团有限公司,北京市西城区金融大街甲3号,911000000000192465,000019246,0,0,1,1,,,,,,,,,115.0,,0.0,0.0,0.0,,,,,,,55.6775,1.2768,-3.6847,-0.9381,0.0163,-0.2,27.6406,16.8398,2018-06-29
3,1194542,2020-10-15 22:36:56,6F268F84D8C8C7E3E0539601A8C062C45,华润医药控股有限公司,北京市北京经济技术开发区科创十四街99号汇龙森科技园2幢B123室,91110000710934668C,710934668,0,0,1,1,,,,,,,,,115.0,,0.0,5.0,0.0,,,,,,,6.367,9.0532,0.1249,0.0281,0.2719,-0.2677,0.3686,11.5278,2018-06-29
4,1194544,2020-10-15 22:36:56,6F268F84DB78C7E3E0539601A8C062C45,招商局蛇口工业区控股股份有限公司,广东省深圳市南山区蛇口太子路１号新时代广场,914400001000114606,100011460,0,1,1,1,,0.329379,-0.118056,-0.0260736,-0.139566,-0.103951,,,110.0,,34.0,1.0,0.0,-0.00590122,3.30508,1.64303,0.0372967,4.26514,2.02503,10.4224,0.8877,-0.1594,-0.0667,0.3048,1.1586,1.4494,19.4486,2018-06-29
5,1194546,2020-10-15 22:36:56,6F268F84DB87C7E3E0539601A8C062C45,中国国家铁路集团有限公司,北京市海淀区复兴路10号,91100000000013477B,000013477,0,0,1,1,,,,,,,,,120.0,,4.0,0.0,0.0,,,,,,,,80.1244,,,0.5693,0.6323,0.8869,11.9016,2018-06-29
6,1194547,2020-10-15 22:36:56,6F268F84DB88C7E3E0539601A8C062C45,中国旅游集团有限公司,海南省海口综合保税区跨境电商产业园国际商务中心217,91110000100005554U,100005554,0,0,1,1,,,,,,,,,110.0,,20.0,0.0,0.0,,,,,,,8.8033,10.3263,0.7135,0.0738,0.1478,-3.0386,4.2529,4.3398,2018-06-29
7,1194549,2020-10-15 22:36:56,6F268F84DB99C7E3E0539601A8C062C45,招商局公路网络科技控股股份有限公司,天津自贸试验区(东疆保税港区)鄂尔多斯路599号东疆商务中心A3楼910,91110000101717000C,101717000,0,1,1,1,,,,-0.412274,-0.13312,-0.0770975,,,110.0,,22.0,3.0,0.0,-0.303857,4.03254,3.15031,-0.482092,3.72279,2.84064,19.7674,5.3421,0.8465,0.5579,0.157,6.0996,1.9909,5.688,2018-06-29
8,1194552,2020-10-15 22:36:56,6F268F84E1CCC7E3E0539601A8C062C45,中国联合网络通信有限公司,北京市西城区金融大街21号,91110000710939135P,710939135,0,0,1,1,,,,,,,,,120.0,,3.0,0.0,0.0,,,,,,,14.6407,73.4001,2.1582,0.3338,0.1321,6.3244,0.7977,0.0204,2018-06-29
9,1194553,2020-10-15 22:36:56,6F268F84E784C7E3E0539601A8C062C45,中国三峡新能源(集团)股份有限公司,北京市通州区贡院街1号院1号楼二层206-23室,9111000010000376X7,10000376X,0,0,1,1,,,,,,,,,120.0,1.0,0.0,0.0,0.0,,,,,,,,,0.7881,0.6916,0.4718,0.8412,0.5165,31.0029,2018-06-29
