,ID,ETL_DATE,ENTID,NAME,ADDRESS,CODE1,CODE2,ISURBAN,ISBOARD,HAVEBOND,HAVEBOND2,ISBAD,M001,M002,M003,M004,M005,M006,M010,M011,M012,M013,M015,M020,M021,M022,M023,M024,M025,M026,F005,F015,F022,F024,F031,F037,F039,F044,DATA_DATE
0,1194531,2020-10-15 22:36:56,1831b7f81f02ae4b9ef6908191485fbc,蚌埠市乐居投资管理有限公司,安徽省怀远县荆山镇禹王东路388号,91340321MA2MU1PC4E,MA2MU1PC4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29
1,1194532,2020-10-15 22:36:56,18adc157b44870da943fd451e51d8faa,山东金阳矿业集团有限公司,泰安市宁阳县葛石镇夏庄村北,91370000166566004L,166566004,0,0,1,0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,2018-06-29
2,1194533,2020-10-15 22:36:56,18e967cdbe85743ff92f625885e897fe,广西粤桂广业控股股份有限公司,广西贵港市幸福路１００号,91450800198227509B,198227509,0,1,0,0,,-0.637058,-0.286494,-0.23538,-0.150974,-0.126878,,,,,,,,-0.115169,2.69986,1.44361,-0.194105,2.5474,0.786234,34.4749,25.916,0.1019,0.0119,0.0647,-2.7741,3.5792,10.1093,2018-06-29
3,1194534,2020-10-15 22:36:56,197f0395e5be13a226fe05493847aac2,贵州圣济堂医药产业股份有限公司,贵州省贵阳市清镇市医药园区,9152000070960790XK,70960790X,0,1,0,0,,-0.340351,-0.425076,-0.469676,-0.332149,-0.301115,93.0,0.155259,,,0.0,0.0,0.0,-0.202442,1.76011,0.537106,-0.493484,1.97738,0.592703,6.6512,62.6529,-0.0538,-0.0192,0.1496,7.3531,0.7042,-39.4433,2018-06-29
4,1194535,2020-10-15 22:36:56,3f539d6607e45339ac5e8726c2a64833,北矿科技股份有限公司,北京市丰台区南四环西路188号18区23号楼4层,911100007109270385,710927038,0,1,0,0,,-0.609892,-0.309965,-0.239464,-0.177486,-0.131291,,,,,,,,-0.104195,3.82281,2.52192,-0.162878,3.92856,1.92546,38.3331,24.482,,0.2467,,-3.0385,,9.628,2018-06-29
5,1194536,2020-10-15 22:36:56,41ce4564091c114cdbdf7c7e02061280,贵阳产业发展控股集团有限公司,贵州省贵阳市观山湖区长岭北路会展商务区TB-1贵阳农村商业银行股份有限公司大楼,91520100MA6HY5F83R,MA6HY5F83,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-29
6,1194537,2020-10-15 22:36:56,428ae7ee0f5270a0ee221fca788a22a8,郴州高科福升投资开发有限公司,郴州市苏仙区白露塘镇林邑大道与坪田标准厂房企业服务中心420室,91431000780888863G,780888863,0,0,1,0,,,,,,,,,85.0,1.0,0.0,0.0,0.0,,,,,,,5.042,0.0224,-5.7396,-5.0314,0.3318,0.5241,3.1463,10.4635,2018-06-29
7,1194538,2020-10-15 22:36:56,4731d29ca6d2c79000d7aae267bed95a,福星惠誉控股有限公司,东西湖区武汉银湖科技产业开发园８号,914201007257685192,725768519,0,0,1,1,,,,,,,,,90.0,,57.0,0.0,0.0,,,,,,,1.298,0.0875,-0.0025,-0.0017,0.3493,1.032,1.1309,9.6826,2018-06-29
8,1194539,2020-10-15 22:36:56,62322475e3d4f40503ecaebe235316fa,志邦家居股份有限公司,安徽省合肥市庐阳工业区连水路19号,91340100772816763N,772816763,0,1,0,0,,,,-0.119969,-0.307341,-0.155589,,,,,,,,0.340906,3.68011,3.72241,-0.0669108,3.96873,2.78092,1702.37,23.5747,4.8306,0.1836,0.0313,-2.5773,8.6956,37.3812,2018-06-29
9,1194540,2020-10-15 22:36:56,634c2db90282fc1769a242ad781967ea,中国轻工集团有限公司,北京市朝阳区启阳路4号,911100001000089232,100008923,0,0,1,1,,,,,,,,,105.0,,3.0,0.0,0.0,,,,,,,1.4831,27.3509,-0.3026,-0.018,0.1829,7.4109,2.7624,-8.1031,2018-06-29
10,1194541,2020-10-15 22:36:56,6F268F84D67FC7E3E0539601A8C062C45,中国邮政集团有限公司,北京市西城区金融大街甲3号,911000000000192465,000019246,0,0,1,1,,,,,,,,,115.0,,0.0,0.0,0.0,,,,,,,55.6775,1.2768,-3.6847,-0.9381,0.0163,-0.2,27.6406,16.8398,2018-06-29
11,1194542,2020-10-15 22:36:56,6F268F84D8C8C7E3E0539601A8C062C45,华润医药控股有限公司,北京市北京经济技术开发区科创十四街99号汇龙森科技园2幢B123室,91110000710934668C,710934668,0,0,1,1,,,,,,,,,115.0,,0.0,5.0,0.0,,,,,,,6.367,9.0532,0.1249,0.0281,0.2719,-0.2677,0.3686,11.5278,2018-06-29
12,1194543,2020-10-15 22:36:56,6F268F84DB35C7E3E0539601A8C062C45,中国工商银行股份有限公司,北京市西城区复兴门内大街55号,91100000100003962T,100003962,0,1,0,0,,0.20362,0.027027,-0.141935,-0.126437,-0.0731707,,,115.0,,0.0,0.0,0.0,0.049224,2.2886,0.0886215,-0.104629,2.56055,0.102836,,0.9418,,1.0611,0.0236,,40.4413,7.488,2018-06-29
13,1194544,2020-10-15 22:36:56,6F268F84DB78C7E3E0539601A8C062C45,招商局蛇口工业区控股股份有限公司,广东省深圳市南山区蛇口太子路１号新时代广场,914400001000114606,100011460,0,1,1,1,,0.329379,-0.118056,-0.0260736,-0.139566,-0.103951,,,110.0,,34.0,1.0,0.0,-0.00590122,3.30508,1.64303,0.0372967,4.26514,2.02503,10.4224,0.8877,-0.1594,-0.0667,0.3048,1.1586,1.4494,19.4486,2018-06-29
